Title,Date,Favourites,Comments,Views,Link
Jen Bikini Night Out,2018,118,10,3000,https://www.deviantart.com/gordon003/art/Jen-Bikini-Night-Out-739094404
Jen Formal Night Out,2018,92,9,1000,https://www.deviantart.com/gordon003/art/Jen-Formal-Night-Out-739084976
Scarlett Chrsyler Turbine Car (Commission),2018,45,5,570,https://www.deviantart.com/gordon003/art/Scarlett-Chrsyler-Turbine-Car-Commission-737790986
Kitty Sitting Pose (Vector),2018,142,8,2000,https://www.deviantart.com/gordon003/art/Kitty-Sitting-Pose-Vector-737790748
Dawn Sitting (Vector),2018,156,7,3000,https://www.deviantart.com/gordon003/art/Dawn-Sitting-Vector-737790587
Emily Sitting (Vector),2018,64,5,1000,https://www.deviantart.com/gordon003/art/Emily-Sitting-Vector-737790344
Emily Oldsmobile Cutlass 4-4-2 (Commission),2018,44,6,521,https://www.deviantart.com/gordon003/art/Emily-Oldsmobile-Cutlass-4-4-2-Commission-736824509
TD Oldsmobile Cutlass 4-4-2 (Vector),2018,16,5,328,https://www.deviantart.com/gordon003/art/TD-Oldsmobile-Cutlass-4-4-2-Vector-736688117
Devin BMW 4 Series Convertible (Commission),2018,35,5,679,https://www.deviantart.com/gordon003/art/Devin-BMW-4-Series-Convertible-Commission-736069507
TD BMW 4 Series Convertible (Vector),2018,24,2,529,https://www.deviantart.com/gordon003/art/TD-BMW-4-Series-Convertible-Vector-735899897
Dawn Delorean DMC-12 (Commission),2018,91,12,1000,https://www.deviantart.com/gordon003/art/Dawn-Delorean-DMC-12-Commission-733672870
Kitty Toyota 86,2018,87,15,861,https://www.deviantart.com/gordon003/art/Kitty-Toyota-86-733512657
TD Toyota 86 (Vector),2018,34,5,590,https://www.deviantart.com/gordon003/art/TD-Toyota-86-Vector-733359636
Dakota Lamborghini Huracan,2018,122,17,1000,https://www.deviantart.com/gordon003/art/Dakota-Lamborghini-Huracan-733058142
Beach Friend Drink (Commission),2018,104,13,3000,https://www.deviantart.com/gordon003/art/Beach-Friend-Drink-Commission-732905088
TD Lamborghini Huracan (Vector),2018,33,7,530,https://www.deviantart.com/gordon003/art/TD-Lamborghini-Huracan-Vector-732375224
Andrea Martins OC 2 (Commission),2018,33,12,295,https://www.deviantart.com/gordon003/art/Andrea-Martins-OC-2-Commission-732182244
TD Plymouth Fury (Comm. + Vector),2018,41,8,626,https://www.deviantart.com/gordon003/art/TD-Plymouth-Fury-Comm-Vector-732063154
Heather vs Kitty (Commission),2018,64,12,1000,https://www.deviantart.com/gordon003/art/Heather-vs-Kitty-Commission-731719011
Dakota + Topher: I don't know what to do... (Comm),2018,43,6,827,https://www.deviantart.com/gordon003/art/Dakota-Topher-I-don-t-know-what-to-do-Comm-731512230
CxD: You Belong to Me,2018,92,26,2000,https://www.deviantart.com/gordon003/art/CxD-You-Belong-to-Me-730483033
Courtney + Gwen Comedy Trouble (Commission),2018,72,27,1000,https://www.deviantart.com/gordon003/art/Courtney-Gwen-Comedy-Trouble-Commission-729964087
Devin + Trent Rap Group (Commission),2018,48,15,799,https://www.deviantart.com/gordon003/art/Devin-Trent-Rap-Group-Commission-729490036
Contest Entry: Scottie,2018,29,11,572,https://www.deviantart.com/gordon003/art/Contest-Entry-Scottie-726205701
Chris Cold Challenge (Commission),2018,159,19,4000,https://www.deviantart.com/gordon003/art/Chris-Cold-Challenge-Commission-725641989
Bridgette vs Trent Fear Factor Challenge (Comm),2018,54,31,2000,https://www.deviantart.com/gordon003/art/Bridgette-vs-Trent-Fear-Factor-Challenge-Comm-724833982
Crimson vs Dawn (Commission),2018,98,17,2000,https://www.deviantart.com/gordon003/art/Crimson-vs-Dawn-Commission-724300041
TD Winter Night Out (Commission),2018,129,28,2000,https://www.deviantart.com/gordon003/art/TD-Winter-Night-Out-Commission-723338806
TD Delorean DMC-12 (Comm + Vector),2018,36,12,617,https://www.deviantart.com/gordon003/art/TD-Delorean-DMC-12-Comm-Vector-723061735
Kitty Formal Dress (#7) - Maserati Version,2017,56,3,392,https://www.deviantart.com/gordon003/art/Kitty-Formal-Dress-7-Maserati-Version-722582814
TD Maserati Quattroporte (Vector),2017,29,10,591,https://www.deviantart.com/gordon003/art/TD-Maserati-Quattroporte-Vector-722515936
Kitty Swimsuit (Vector),2017,114,7,2000,https://www.deviantart.com/gordon003/art/Kitty-Swimsuit-Vector-722388359
Kitty Formal Dress (#7) - Limo Version,2017,77,26,584,https://www.deviantart.com/gordon003/art/Kitty-Formal-Dress-7-Limo-Version-722303127
Total Drama Limo 1 (Vector),2017,36,8,687,https://www.deviantart.com/gordon003/art/Total-Drama-Limo-1-Vector-722149736
Zoey x Mike 2 (Vector),2017,121,9,2000,https://www.deviantart.com/gordon003/art/Zoey-x-Mike-2-Vector-721852953
Zoey x Mike 1 (Vector),2017,98,11,1000,https://www.deviantart.com/gordon003/art/Zoey-x-Mike-1-Vector-721843560
Courtney in Zoey Outfit 2 (Comm + Vector),2017,143,17,2000,https://www.deviantart.com/gordon003/art/Courtney-in-Zoey-Outfit-2-Comm-Vector-721689881
Courtney in Zoey Outfit (Comm + Vector),2017,111,30,1000,https://www.deviantart.com/gordon003/art/Courtney-in-Zoey-Outfit-Comm-Vector-721656343
Blaineley vs Ellody (Commission),2017,71,23,2000,https://www.deviantart.com/gordon003/art/Blaineley-vs-Ellody-Commission-721589409
Rachael - Athletic Beauty (OC),2017,50,19,537,https://www.deviantart.com/gordon003/art/Rachael-Athletic-Beauty-OC-720824716
Devin + Ennui Hugging (Commission),2017,21,8,750,https://www.deviantart.com/gordon003/art/Devin-Ennui-Hugging-Commission-720417597
Dawn Swimsuit (Vector),2017,205,21,4000,https://www.deviantart.com/gordon003/art/Dawn-Swimsuit-Vector-720136848
