Title,Favourites,Comments, Link
Chris Cold Challenge (Commission),159,19,https://www.deviantart.com/gordon003/art/Chris-Cold-Challenge-Commission-725641989
Bridgette vs Trent Fear Factor Challenge (Comm),54,32,https://www.deviantart.com/gordon003/art/Bridgette-vs-Trent-Fear-Factor-Challenge-Comm-724833982
Crimson vs Dawn (Commission),98,17,https://www.deviantart.com/gordon003/art/Crimson-vs-Dawn-Commission-724300041
TD Winter Night Out (Commission),129,28,https://www.deviantart.com/gordon003/art/TD-Winter-Night-Out-Commission-723338806
TD Delorean DMC-12 (Comm + Vector),36,12,https://www.deviantart.com/gordon003/art/TD-Delorean-DMC-12-Comm-Vector-723061735
Kitty Formal Dress (#7) - Maserati Version,56,3,https://www.deviantart.com/gordon003/art/Kitty-Formal-Dress-7-Maserati-Version-722582814
TD Maserati Quattroporte (Vector),29,10,https://www.deviantart.com/gordon003/art/TD-Maserati-Quattroporte-Vector-722515936
Kitty Swimsuit (Vector),114,7,https://www.deviantart.com/gordon003/art/Kitty-Swimsuit-Vector-722388359
Kitty Formal Dress (#7) - Limo Version,77,26,https://www.deviantart.com/gordon003/art/Kitty-Formal-Dress-7-Limo-Version-722303127
Total Drama Limo 1 (Vector),36,8,https://www.deviantart.com/gordon003/art/Total-Drama-Limo-1-Vector-722149736
Zoey x Mike 2 (Vector),121,9,https://www.deviantart.com/gordon003/art/Zoey-x-Mike-2-Vector-721852953
Zoey x Mike 1 (Vector),98,11,https://www.deviantart.com/gordon003/art/Zoey-x-Mike-1-Vector-721843560
Gordon's 2017 Art Summary,12,4,https://www.deviantart.com/gordon003/art/Gordon-s-2017-Art-Summary-721812523
Courtney in Zoey Outfit 2 (Comm + Vector),143,17,https://www.deviantart.com/gordon003/art/Courtney-in-Zoey-Outfit-2-Comm-Vector-721689881
Courtney in Zoey Outfit (Comm + Vector),111,30,https://www.deviantart.com/gordon003/art/Courtney-in-Zoey-Outfit-Comm-Vector-721656343
Blaineley vs Ellody (Commission),71,25,https://www.deviantart.com/gordon003/art/Blaineley-vs-Ellody-Commission-721589409
Rachael - Athletic Beauty (OC),50,19,https://www.deviantart.com/gordon003/art/Rachael-Athletic-Beauty-OC-720824716
Devin + Ennui Hugging (Commission),21,8,https://www.deviantart.com/gordon003/art/Devin-Ennui-Hugging-Commission-720417597
Dawn Swimsuit (Vector),205,21,https://www.deviantart.com/gordon003/art/Dawn-Swimsuit-Vector-720136848
Dawn Formal Dress (#6),108,32,https://www.deviantart.com/gordon003/art/Dawn-Formal-Dress-6-720029073
Bridgette Swimsuit Back view (Vector),195,30,https://www.deviantart.com/gordon003/art/Bridgette-Swimsuit-Back-view-Vector-719693228
Courtney + Gwen Heroine Trouble (Commission),66,14,https://www.deviantart.com/gordon003/art/Courtney-Gwen-Heroine-Trouble-Commission-719661841
Bridgette vs Kitty (Commission),69,24,https://www.deviantart.com/gordon003/art/Bridgette-vs-Kitty-Commission-719195970
Andrea Martins OC (Commission),30,11,https://www.deviantart.com/gordon003/art/Andrea-Martins-OC-Commission-718342051
Total Drama Background 5,23,2,https://www.deviantart.com/gordon003/art/Total-Drama-Background-5-717625700
Carrie x Devin Autumn (Commission),71,27,https://www.deviantart.com/gordon003/art/Carrie-x-Devin-Autumn-Commission-717544600
